id,label,timeset,type,image,lfr,listed,friends,shape,file,followers,user_id,ffr,statuses,indegree,outdegree,degree
4010,ndagiwenimana,,followers,/home/usnish/twitter_ypcdn/img/807987275816701952.jpg,0.0,0,177,triangle-down,ncdaction.dat,35,807987275816701952,0.1977,43,7,19,26
2745,Roslun,,followers,/home/usnish/twitter_ypcdn/img/93672404.jpg,0.0799,9,2253,triangle-down,ncdaction.dat,1127,93672404,0.5002,6162,6,8,14
588,DeberoBeza,,followers,/home/usnish/twitter_ypcdn/img/90501770.png,0.3478,4,1970,triangle-down,ncdaction.dat,115,90501770,0.0584,503,7,104,111
1728,paramedservices,,followers,/home/usnish/twitter_ypcdn/img/299445185.jpg,0.0996,8,1837,triangle-down,ncdaction.dat,803,299445185,0.4371,1499,6,19,25
1126,healthpolicy101,,followers,/home/usnish/twitter_ypcdn/img/102270529.jpg,0.2715,12,613,triangle-down,ncdaction.dat,442,102270529,0.721,1544,12,32,44
2952,annaknicholson,,followers,/home/usnish/twitter_ypcdn/img/2771112719.jpg,0.2336,5,336,triangle-down,ncdaction.dat,214,2771112719,0.6369,1081,27,40,67
781,PatientSolDay,,followers,/home/usnish/twitter_ypcdn/img/1324395199.png,0.2517,26,1959,triangle-down,ncdaction.dat,1033,1324395199,0.5273,1507,89,191,280
3441,iam_amdadam,,followers,/home/usnish/twitter_ypcdn/img/2913616969.jpg,0.19,8,1884,triangle-down,ncdaction.dat,421,2913616969,0.2235,584,0,2,2
3201,CancerworldESO,,followers,/home/usnish/twitter_ypcdn/img/729953658952159232.jpg,0.2844,6,211,triangle-down,ncdaction.dat,211,729953658952159232,1.0,117,13,16,29
1171,Jozch,,followers,/home/usnish/twitter_ypcdn/img/88104868.jpg,0.3297,3,331,triangle-down,ncdaction.dat,91,88104868,0.2749,179,0,9,9
2401,CERInstitute,,followers,/home/usnish/twitter_ypcdn/img/815251651.png,0.178,168,3299,triangle-up,ncdaction.dat,9439,815251651,2.8612,12744,46,20,66
1059,_nofixedaddress,,followers,/home/usnish/twitter_ypcdn/img/467358549.jpg,0.5179,29,2013,triangle-down,ncdaction.dat,560,467358549,0.2782,5631,43,141,184
4139,A2A11y,,followers,/home/usnish/twitter_ypcdn/img/869498253599019009.png,0.1515,3,1256,triangle-down,ncdaction.dat,198,869498253599019009,0.1576,81,2,3,5
983,WMichaelSparks,,followers,/home/usnish/twitter_ypcdn/img/482721696.jpg,0.5051,5,20,triangle-up,ncdaction.dat,99,482721696,4.95,52,25,6,31
907,NextBillionHC,,followers,/home/usnish/twitter_ypcdn/img/897661766.png,2.1326,328,1759,triangle-down,ncdaction.dat,1538,897661766,0.8744,9904,77,110,187
2231,Kickit,,followers,/home/usnish/twitter_ypcdn/img/225021567.jpg,0.4992,31,704,triangle-down,ncdaction.dat,621,225021567,0.8821,656,9,30,39
1300,DukeMalan,,followers,/home/usnish/twitter_ypcdn/img/173563974.jpg,0.0904,6,1729,triangle-down,ncdaction.dat,664,173563974,0.384,873,6,17,23
1965,kmvnarayan14,,followers,/home/usnish/twitter_ypcdn/img/132700551.jpg,0.424,12,79,triangle-up,ncdaction.dat,283,132700551,3.5823,2393,49,29,78
2127,UAEMbr,,followers,/home/usnish/twitter_ypcdn/img/2384178649.png,0.6714,19,310,triangle-down,ncdaction.dat,283,2384178649,0.9129,2074,70,58,128
4157,holly_pobjie,,followers,/home/usnish/twitter_ypcdn/img/466807007.jpg,0.0,0,190,triangle-down,ncdaction.dat,76,466807007,0.4,151,4,21,25
1817,anaisbd,,followers,/home/usnish/twitter_ypcdn/img/582223693.jpg,0.6823,64,1934,triangle-down,ncdaction.dat,938,582223693,0.485,8796,7,30,37
3838,MakiriroGabriel,,followers,/home/usnish/twitter_ypcdn/img/2332006208.jpg,0.5405,2,314,triangle-down,ncdaction.dat,37,2332006208,0.1178,71,9,48,57
703,CathyKahima,,followers,/home/usnish/twitter_ypcdn/img/546221927.png,0.0,0,54,triangle-down,ncdaction.dat,15,546221927,0.2778,12,2,6,8
2468,IssyMarks,,followers,/home/usnish/twitter_ypcdn/img/351528327.jpg,0.4729,34,610,triangle-up,ncdaction.dat,719,351528327,1.1787,1496,84,71,155
1398,pernille_vigild,,followers,/home/usnish/twitter_ypcdn/img/2153211333.jpg,0.0,0,49,triangle-down,ncdaction.dat,5,2153211333,0.102,2,0,5,5
3720,charlieaoleary,,followers,/home/usnish/twitter_ypcdn/img/2454958861.jpg,0.0,0,317,triangle-down,ncdaction.dat,138,2454958861,0.4353,149,33,80,113
688,NCDFREE,,followers,/home/usnish/twitter_ypcdn/img/1200378121.jpg,0.3494,237,650,triangle-up,ncdaction.dat,6784,1200378121,10.4369,8799,1973,258,2231
2919,DrHollyAtkinson,,followers,/home/usnish/twitter_ypcdn/img/68709161.jpg,0.8279,38,779,triangle-down,ncdaction.dat,459,68709161,0.5892,146,9,10,19
3243,BEWAJ,,followers,/home/usnish/twitter_ypcdn/img/613337579.jpg,0.2239,62,3015,triangle-down,ncdaction.dat,2769,613337579,0.9184,2895,30,87,117
1799,NS_CEO,,followers,/home/usnish/twitter_ypcdn/img/2615709314.jpg,0.2463,33,2057,triangle-down,ncdaction.dat,1340,2615709314,0.6514,643,33,63,96
528,MarieAlder,,followers,/home/usnish/twitter_ypcdn/img/358158879.jpg,0.0,0,166,triangle-down,ncdaction.dat,118,358158879,0.7108,68,10,22,32
4091,PATHadvocacy,,followers,/home/usnish/twitter_ypcdn/img/1705312470.jpg,0.2788,88,1387,triangle-up,ncdaction.dat,3156,1705312470,2.2754,4841,227,101,328
2753,centcacal,,followers,/home/usnish/twitter_ypcdn/img/3225886803.jpg,1.3043,6,467,triangle-down,ncdaction.dat,46,3225886803,0.0985,2377,1,2,3
2526,alix_beith,,followers,/home/usnish/twitter_ypcdn/img/3590521402.jpg,0.5952,5,320,triangle-down,ncdaction.dat,84,3590521402,0.2625,316,4,41,45
1254,GlobalHealthAct,,followers,/home/usnish/twitter_ypcdn/img/150566259.jpg,0.3165,64,1910,triangle-up,ncdaction.dat,2022,150566259,1.0586,1552,267,246,513
